Ausgabe;Autoren;Rubrik;Titel;Seiten;Abstract
"2022-4";"Peter Krijnen";"Elektronik";"Silberlinge: Original oder Nachbau (Teil 9)";"74–79";"In diesem letzten Beitrag in der Reihe der Silberlinge werde ich mich mit den Modulen aus hobbylabor 1 und dem Mikrofon-Lautsprecher-Baustein befassen. Abschließend möchte ich dann noch meine Nachbauten vorstellen."
"2022-4";"Dirk Fox";"Computing";"Einführung in ftScratch (4): Der Morsetelegraf";"80–88";"Scratch ist eine für Einsteiger und Schulen besonders geeignete Programmiersprache. Die Entwicklungsumgebung ftScratch3 unterstützt mit entsprechenden Erweiterungen die fischertechnik-Controller TXT und BT Smart [1]. In dieser Serie führen wir in die Programmierung mit ftScratch ein – mit kleinen Modellen und Aufgaben."
"2022-4";"Axel Chobe";"Computing";"Hard- und Softwareübersicht zur Ansteuerung von fischertechnik";"89–103";"Eine der besonderen Merkmale von fischertechnik ist die Möglichkeit, Modelle anzusteuern – mit Mikrocontrollern und Fernsteuerungen. Der Beitrag gibt eine aktuelle Übersicht."
"2022-3";"Dirk Fox";"Editorial";"AI";"2";
"2022-3";"Rüdiger Riedel";"Tipps & Tricks";"Spielerei mit Rundbausteinen";"5–6";"Die Rundsteine 15×15 und 30×15 sind eine enorme Bereicherung zur Gestaltung der fischertechnik-Modelle. Als Anregung habe ich hier ein paar „Mandalas“ zusammengestellt."
"2022-3";"Rüdiger Riedel";"Getriebe";"Maxizahnräder – Modul 1,5 oder lieber 16?";"7–9";"fischertechnik-Zahnräder haben Modul 1,5 und in den Getrieben 0,5. Braucht jemand für Demonstrationszwecke richtig große Zahnräder? Mit Modul 16? Hier sind sie."
"2022-3";"Tilo Rust";"Modell";"Großprojekt Seilbahn (Teil 5): Bewegung";"10–18";"Diese Serie begleitet das Großprojekt „Kuppelbare Einseilumlaufbahn (10-MGD)“ im Fördertechnik-Museum Sinsheim von Anfang bis zur Fertigstellung und Ausstellung auf der BUGA 2023 in Mannheim. In diesem Teil zeigen wir den aktuellen Stand des Modells und was sich jetzt schon bewegt."
"2022-3";"Hans-Christian Funke";"Elektronik";"Club-Modelle Teil 1: 1979/3";"19–35";"Im letzten Heft hatte ich angekündigt, Modelle aus den alten Club-Heften von fischertechnik nachzubauen und im neuen Gewand zu präsentieren. Die Auswahl der Modelle stelle ich chronologisch beginnend ab 1979 rückwärts – also in die Vergangenheit – vor."
"2022-3";"Arnoud van Delden";"Elektronik";"Die Praktika von fischertechnik im Jahr 2022";"36–44";"Mit dem „hobbylabor 1“ (30626 & 30850), dem „Elektronik-Praktikum“ (30629) und dem „IC-Digital-Praktikum“ (30630) stellte fischertechnik in den 1970er Jahren mehrere Experimentierkästen mit diskreten elektronischen Bauelementen und digitalen ICs vor. Da komplette Praktika- und Hobbylabor-Baukästen aufgrund ihres hohen Sammlerwerts heute kaum noch zu finden sind und es fast unanständig erscheint, mit diesen Museumsstücken tatsächlich zu spielen, habe ich mir eine Lösung einfallen lassen, in der sich alle Praktika-Experimente der Vergangenheit auf modernere Art wiederfinden. Bleibt die Ära der diskreten Elektronik und der digitalen ICs nicht das Fundament, auf dem die heutigen Mikrocontroller aufgebaut sind?"
"2022-3";"Thomas Magin";"Elektronik";"Die Kunst der H-Brücke: ... and roll!";"45–52";"Wie schon im ersten Teil [1] angekündigt, soll der Aufbau einer Brückenschaltung so nah wie möglich an fischertechnik-Standards geschehen. Der Ausganspunkt ist die Leistungsstufe."
"2022-3";"Peter Krijnen";"Elektronik";"Silberlinge: Original oder Nachbau (Teil 8)";"53–61";"1971 stellten die Fischerwerke die erste Version des Schulkastens u-t4 30609 (Abb. 230) vor. Diese war speziell zum Steuern und Regeln gedacht. Die notwendige Elektronik wurde in einem „Batteriehalter“ untergebracht. Ab 1974 war der Kasten jedoch mit vier Silberlingen (Abb. 231) versehen. Die Elektronik, die im ersten Kasten in einem Gehäuse untergebracht war, war fortan auf drei Silberlinge verteilt: Verstärkerbaustein 36733, Transistor-Potentiometer-Baustein 36735 und ein Relaisbaustein 36734. Ein Gleichrichterbaustein 36393 war ebenfalls dabei."
"2022-3";"Hans-Christian Funke";"Elektronik";"Elektronik-Module (Teil 8): Silberlinge = Elektronikmodule?!";"62–71";"Aufgrund vielfältiger Nachfragen, wie die Elektronikmodule eingesetzt oder diese ersatzweise für die Silberlinge verwendet oder wie die Elektronikmodule in einem Modell aus den hobby-Büchern integriert werden können, habe ich mich entschlossen, hier einmal einen allgemeinen Vergleich zu geben und zu zeigen, wie die einzelnen Silberlinge durch Elektronikmodule ersetzt werden können."
"2022-3";"Peter Krijnen";"Elektronik";"Silberlinge: Flip-Flop in Hardware oder Software?";"72–80";"Im Forum gibt es einen Thread, in dem die Funktionsweise des Flip-Flops diskutiert wird [1], insbesondere wenn die Lampe durch eine LED ersetzt wird. Eine Person hat sich die Mühe gemacht, einige Silberlinge zu simulieren. Dazu nutzte er das Programm LTspice [2]. Dieses Programm kann kostenlos heruntergeladen und verwendet werden."
"2022-3";"Kurt Mexner";"Computing";"Sensoren am TXT: Farberkennung mit der Kamera";"81–84";"Mit verschiedenen Sensoren werden die Möglichkeiten des TXT Discovery Sets erheblich erweitert. Mit dieser Reihe möchte ich einige dieser Sensoren vorstellen. In diesem Beitrag beschäftigen wir uns mit der Farberkennung vermittels der bereits mitgelieferten Kamera."
"2022-3";"Dirk Fox";"Computing";"Einführung in ftScratch (3): Der Barcodeleser";"85–92";"Scratch ist eine für Einsteiger und Schulen besonders geeignete Programmiersprache. Die Entwicklungsumgebung ftScratch3 unterstützt mit entsprechenden Erweiterungen die fischertechnik-Controller TXT und BT Smart [1]. In dieser Serie führen wir in die Programmierung mit ftScratch ein – mit kleinen Modellen und Aufgaben."
"2022-3";"Thomas Kaiser";"Computing";"Android App für den BT-Empfänger mit dem MIT App Inventor 2";"93–103";"Der Bluetooth Empfänger kann auch mit einer von fischertechnik bereitgestellten Smartphone-App gesteuert werden, die durchaus ihren Zweck erfüllt. Aber was, wenn man eigene Ideen hat?"
"2022-3";"Holger Howey";"Computing";"TX-Light: Arduino (Uno/Mega) und ftDuino aus ROBO Pro ansteuern";"104–109";"Die von fischertechnik mit der Einführung des TXT 4.0 abgekündigte Programmiersprache ROBO Pro ist nach wie vor eine leistungsfähige Einsteigerprogrammiersprache. Leider unterstützt sie keine „Fremdinterfaces“ wie z. B. den in Schulen verbreiteten Arduino. Doch auch für diese Herausforderung hat die Community eine Lösung…"
"2022-3";"Dirk Fox";"Computing";"TX-Simulator für den ftDuino";"110–120";"Kaum hatte fischertechnik die Weiterentwicklung von ROBO Pro abgekündigt, machte die Community den TXT 4.0 ROBO Pro-kompatibel [1]. Jetzt kann auch der ftDuino mit ROBO Pro gesteuert werden, als wäre er ein TX: Angeregt von Holger Howeys Erweiterung des fx1parsers [6, 10, 11] entstand ein „TX-Simulator“, der auch das I2C-Protokoll beherrscht."
"2022-2";"Stefan Falk";"Editorial";"Vom Guten zum noch Besseren";"2";
"2022-2";"David Holtz, Tilo Rust";"Convention (Reportage)";"Südconvention: Aus 1 mach 2";"4–5";"Warum wir uns besonders auf die Südconvention 2022 freuen dürfen."
"2022-2";"Rüdiger Riedel";"Modell";"Der Holländer";"6–11";"Mein Vater hat mir von seinen Kindheitserinnerungen erzählt. Beliebt war ein Fahrzeug mit einem Stangenantrieb wie bei einer Draisine auf Schienen."
"2022-2";"Hans-Christian Funke";"ft-Geschichte (Grundlagen)";"Club-Modelle";"12–22";"Seit 1968 gibt es eine Veröffentlichung von fischertechnik in Form einer Zeitschrift für Mitglieder des fischertechnik-Clubs. Die Club-Zeitung verbreitet seitdem Informationen, Modelle und Neuigkeiten an die Club-Mitglieder. Von 1991 bis heute werden die Neuigkeiten rund um fischertechnik ohne Unterbrechung über die „Fan Club News“ veröffentlicht."
"2022-2";"Florian Bauer";"Mechanik";"Nie mehr schief gewickelt";"23–31";"In diesem Beitrag geht es um verschiedene Seilführungs-Systeme mit fischertechnik."
"2022-2";"Stefan Falk";"Modell";"Ein einfach zu bauendes Uhrenpendel";"32–48";"Was hätte ich mich in meiner Kindheit gefreut, wenn ich mit fischertechnik einen gut funktionierenden Pendelantrieb mit Pendelhemmung hinbekommen hätte. Allerdings waren meine Fertigkeiten damals noch zu gering – und in keiner Anleitung und keinem Club-Heft war ein solches Modell beschrieben. Erst in den 1990ern gelang mir eine richtige Stand-Pendeluhr – mit einem großen Kieselstein als Gewicht. Deshalb hier eine Anleitung für ein Uhrenpendel, bei dem nichts auf Zehntelmillimeter justiert werden muss."
"2022-2";"Dirk Fox";"Uhren (Mechanik)";"Kalenderwerk mit Mondphasenanzeige";"49–60";"Mit der zunehmenden Genauigkeit von Räderuhren, die im 18. Jhd. mit der Einführung des Pendels und der Unruh als Gangregler möglich wurde, erweiterte man Uhrwerke um zusätzliche Funktionen („Komplikationen“). Wie das Schlagwerk, das bereits in frühen Turmuhren und später in Standuhren die Stunde akustisch anzeigte, gehörte in Taschenuhren bald ein Kalenderwerk mit Mondphasenanzeige zu den frühen Komplikationen. Tatsächlich ist die Geschichte der Mondphasenanzeige sogar noch sehr viel älter."
"2022-2";"Till Harbaum";"Elektronik";"9V-Block-Akkus im fischertechnik-Batteriehalter";"61–67";"Die Standard-Stromversorgung für fischertechnik-Modelle ist seit vielen Jahren der klassische 9V-Block im Batteriehalter (135719). Das klingt zunächst nach einer sinnvollen Lösung. Die Batteriehalter sind günstig in der Herstellung, die passenden Batterien gibt (gab) es an jeder Straßenecke und es lassen sich alle Motoren, Aktoren und Controller aus dem fischertechnik-Sortiment damit betreiben. Aus gutem Grund liegt der Batteriehalter praktisch allen Baukästen bei, die Elektrokomponenten enthalten. Ganz so einfach ist es leider nicht."
"2022-2";"Hans-Christian Funke";"Elektronik";"Ein Labor in Aktion";"68–72";"Baustellenlauflichter, Ampelschaltungen, Quizmasterschaltung, Sirene mit Blaulicht für Einsatzfahrzeuge, Steuerungen für Transportbänder und vieles mehr lassen sich mit den Elektronikmodulen realisieren und nachbauen. Über dieses Labor wird man an die Grundlagen herangeführt."
"2022-2";"Arnoud van Delden";"Elektronik";"Eine zukunftssichere Stromversorgung";"73–86";"Das Basismodul in jedem Silberling-Aufbau ist das Gleichrichtermodul h4GB (30811), das die anderen Module mit einer Gleichspannung von ca. 10 V versorgen kann. Heutzutage wird die Herstellung von Gleichstrom aus Wechselstrom meistens externen Gleichstromadaptern überlassen. Weil sich hier nun der Mikrocontroller im Silberling-Gehäuse eingeschlichen hat, entstand der Bedarf nach einem zukunftsfähigeren Stromversorgungsmodul, mit dem auch 3,3- und 5-Volt-Sensoren und andere Peripherieelektronik mit Strom versorgt werden können. Wenn so ein Modul auch noch eine gute Übersicht über die Stromaufnahme bietet und mit einer programmierbaren Strombegrenzung ausgestattet ist, sieht es schon nach einem würdigen Nachfolger des guten alten Gleichrichterbausteins aus..."
"2022-2";"Peter Krijnen";"Elektronik";"Silberlinge: Original oder Nachbau (Teil 7)";"87–100";"Wie ich am Ende von Teil 6 erwähnt habe, werde ich mich in diesem Teil mit dem OR-NOR- und dem AND-NAND-Baustein befassen. Abschließend werde ich noch auf das Dynamische UND eingehen."
"2022-2";"Hans-Christian Funke";"Elektronik";"Elektronik-Module (Teil 7): Multimeter";"101–103";"Eine vermehrte Nachfrage nach dem Messmodul 70022 und auch das aktuelle Thema Schwellenwertregler haben dazu geführt, dass dieses Elektronikmodul in Kürze ebenfalls im Online-Shop von Franz Santjohanser [1] erhältlich sein wird."
"2022-2";"Thomas Magin";"Elektronik";"Die Kunst der H-Brücke: Let's Rock";"104–118";"Alles begann mit der Idee, einen Portalkran zu bauen – no Limits. Es mal so richtig krachen zu lassen, losgelöst von allen (finanziellen) Restriktionen der Kindheit und Jugend. Und der muss sich natürlich auch bewegen. Und Automatisierung muss auch sein! Doch will man im Kosmos der fischertechnik-Motore bleiben, kommt man schnell an den Punkt, wo diese sich nur müde bewegen, wenn ein TXT das Kommando hat. Da muss Verstärkung her…"
"2022-2";"Dirk Fox";"Computing";"Einführung in ftScratch (2): Der Münzautomat";"119–122";"Scratch ist eine für Einsteiger und Schulen besonders geeignete Programmiersprache. Die Entwicklungsumgebung ftScratch3 unterstützt mit entsprechenden Erweiterungen die fischertechnik-Controller TXT und BT Smart [1]. In dieser Serie führen wir in die Programmierung mit ftScratch ein – mit kleinen Modellen und Aufgaben."
"2022-2";"Torsten Stuehn";"Computing";"ROBO Pro, ftrobopy und ftScratch auf dem TXT 4.0";"123–129";"Das Programm ftrobopy_server emuliert auf dem TXT 4.0 das ROBO Pro-Kommunikationsprotokoll des TXT. Damit kann der TXT 4.0 von allen Anwendungen, die für den Online-Modus des TXT entwickelt wurden angesteuert werden. Mit Python und ftrobopy können auch Offline-Programme, unabhängig von PC und Netzwerk, auf dem TXT 4.0 gestartet werden."
"2022-2";"Stefan Fuss";"Computing";"Die fischertechnik-Lichterkette";"130–133";"Bislang mussten Tim & Tom an Grillabenden [1] mit überholter Beleuchtungstechnik in den Sommerabend feiern. Während die „echten“ Gärten mit Lichttechnologie vom Feinsten hochgerüstet werden, setzten die beiden bislang auf Raumschiff-Orion-Ambiente mit Leuchtstein & Kappe. Doch die viel beschworene Zeitenwende klopft an die Tür des Leuchtsteins 31313."
"2022-2";"Stefan Fuss, Christian Bergschneider";"Computing";"ftSwarm (2) – Codierst du noch oder schwärmst du schon?";"134–137";"Die Modelle in den 70er- und 80er-Jahren kamen ganz ohne Mikrocontroller aus. Es wurden coole mechanische Modelle gebaut, die mit Motoren, Kabeln und ein paar Tastern zum Leben erweckt wurden. Im Modell von heute befindet sich zusätzlich ein Controller. Die wenigen Zeilen Code, um einen Motor zu steuern, werden spätestens bei parallel ablaufenden Prozessen kompliziert. Aber muss es denn immer so knifflig sein? Kann ein Controller auch mit sehr einfacher Programmierung oder ganz ohne Programmierung z. B. als Fernsteuerung betrieben werden?"
"2022-1";"Dirk Fox";"Editorial";"Es wird ernst";"2";
"2022-1";"Ralf Geerken, Rüdiger Riedel";"Modell";"Eierbecher";"4–14";"Von Anpassungsfähigen über gestürzte Kronen bis hin zu Zweiteilern…"
"2022-1";"Rüdiger Riedel, Stefan Falk";"Modell";"Fortbewegung einmal anders";"15–20";"Es gibt ein seltsames Kinderspielzeug, Fahrzeug kann man es kaum nennen. Das Gefährt hat einen Sitz, hinten zwei Räder, einen Drehschemel mit zwei Rädern vorne (manchmal auch nur ein Rad) und daran befestigt ein Lenkrad. Wird das Lenkrad heftig nach rechts und links geschwenkt, bewegt sich das Ding vorwärts. Das probieren wir aus."
"2022-1";"Fabian Haas";"Modell";"Chassis für 8x4-Truck";"21–26";"8×4-Trucks üben aufgrund ihrer schieren Länge und Leistung eine ganz besondere Faszination aus. Hier ein Modellvorschlag, der wesentliche Teile der Originale in ein fischertechnik-Modell umsetzt: die Doppellenkung und frei bewegliche Hinterachsen. In einer weiteren Ausbaustufe kommen zwei Motoren und eine von den Aluprofilen getrennte Lenkung hinzu."
"2022-1";"Fabian Haas";"Modell";"Eine Kabelklemme mit beweglichen Klemmbacken";"27–30";"Immer wieder stehen wir vor der Aufgabe, Dinge, die keine fischertechnik-Verzahnung haben, in der fischertechnik-Welt zu verwenden und so auszurichten, dass wir sie verwenden können. Bei mir war es kürzlich eine Endoskopkamera mit einem recht widerspenstigen Kabel. Ich zähmte es durch eine Klemme, die entsprechend dem Sondenkabel recht schwer ausfiel. Damit klemmt es – sicher und zuverlässig!"
"2022-1";"Claus Ludwig";"Modell";"Gabelstapler – ferngesteuert (1)";"31–36";"Ferngesteuerte Modelle sind schon immer fester Bestandteil meines fischertechnik-Programms. Anfangs nur mit Fernsteuerungen von fischertechnik, später auch mit Multifunktionsfernsteuerungen aus dem Modellbaubereich. In loser Folge möchte ich einige Modelle und deren Fernsteuerungen in der ft:pedia vorstellen. Den Anfang macht der Ende 2021 entstandene Gabelstapler."
"2022-1";"Tilo Rust";"Modell";"Großprojekt Seilbahn (Teil 4): Fundamentale Arbeiten";"37–43";"Diese Serie begleitet das Großprojekt „Kuppelbare Einseilumlaufbahn/Doppelmayr (10-MGD)“ im Fördertechnik-Museum Sinsheim von Anfang bis zur Fertigstellung und Ausstellung auf der BUGA 2023 in Mannheim."
"2022-1";"Lutz Mänche";"Modell";"fischertechnik-Roboter mit Arduino (Teil 5): Elegante Leuchtsteine und gepimpte LKW";"44–47";"Die Roboter aus dem Buch „fischertechnik-Roboter mit Arduino“ [1] haben zahlreiche Leser zu weiteren Modellvarianten angeregt. In loser Folge werden in dieser Serie einige dieser Modelle vorgestellt. Diesmal wird der Flitzer gepimpt – und die Steuerung in LKW eingebaut..."
"2022-1";"Rubem Pechansky";"Modell";"„Dirty Dishes“ Pinball machine";"48–59";"2021 marked my 50-year anniversary with fischertechnik. It was about time I did my own pinball machine. It eventually turned out to be my most challenging hobby project ever.59"
"2022-1";"Peter Krijnen";"Elektronik";"Silberlinge: Original oder Nachbau (Teil 6)";"60–70";"Wie in Teil 5 angekündigt, werde ich mich in Teil 6 mit dem Mono-Flop (36480) beschäftigen."
"2022-1";"Arnoud van Delden";"Elektronik";"Der Zauberling (Teil 4): Die Weiterentwicklung";"71–79";"Es war eine lehrreiche Herausforderung, den Prototypen des magischen Zauberlings mit einem Arduino Pro Mini in den relativ kleinen Innenmaßen des originalen Silberling-Gehäuses (40 x 70 mm und einer Tiefe von nur 25 mm) unterzubringen. Mit fortschreitender Erfahrung, Verbesserungsideen und anderen Zusatzwünschen fing ich bald an, über eine nächste Version mit diversen technischen Verbesserungen und einem schlankeren „Produktionsprozess“ für die Leiterplatten und Fronten zu phantasieren. Es war an der Zeit, Leiterplatten zu entwerfen und 3D-Drucker und Lötkolben einzuschalten."
"2022-1";"Arnoud van Delden";"Modell";"Farbsortierer mit dem TCS3472";"80–85";"Mit dem seriellen I²C-Bus-Anschluss auf der Rückseite des Moduls sind die Möglichkeiten des neuen Zauberlings stark gewachsen [1]. An den Bus können unter anderem zahlreiche externe Sensoren angeschlossen werden. Für mein erstes Experiment habe ich den Farbsensor TCS3472 gewählt. Die fischertechnik-Farbsortieranlage eignet sich dafür als Modell."
"2022-1";"Dirk Fox";"Computing";"Scratch mit fischertechnik – Update 2022";"86–92";"Seit der Vorstellung der Scratch-Unterstützung durch fischertechnik in der ft:pedia 1/2018 [1] hat sich einiges in der „Scratch-Welt“ verändert und funktioniert heute anders als damals von mir beschrieben. Daher ist ein Update überfällig – denn Scratch ist nach wie vor eine verbreitete und für Einsteiger und Schulen sehr attraktive Entwicklungsumgebung."
"2022-1";"Dirk Fox";"Computing";"Einführung in ftScratch (1): Die Schranke";"93–97";"Scratch ist eine für Einsteiger und Schulen besonders geeignete Programmiersprache. Die Entwicklungsumgebung ftScratch3 unterstützt mit entsprechenden Erweiterungen die fischertechnik-Controller TXT und BT Smart [1]. In dieser Serie führen wir in die Programmierung mit ftScratch ein – mit kleinen Modellen und Aufgaben."
"2022-1";"Michael Schulte";"Modell";"Solartracker";"98–102";"Ein Solartracker optimiert die Energieausbeute einer Solarzelle durch die exakte Ausrichtung nach dem Sonnenstand. Viel präziser als mit dem einfachen „Solarzellenachführer“ aus der ft:pedia 1/2020 [2] gelingt das mit einem Solartracker, der zu jeder Zeit den exakten Sonnenstand bestimmt."
"2022-1";"Florian Bauer";"Computing";"Single Track Gray Encoder mit fischertechnik";"103–111";"In diesem Beitrag wird ein prototypischer Aufbau eines Single Track Gray Encoders mit fischertechnik vorgestellt. Dies ist ein multidisziplinäres Projekt, das aufzeigt, wie man mit Hilfe von fischertechnik, etwas Elektronik und einem Mikrocontroller ein mathematisches Modell in die Realität umsetzen und begreifbar machen kann."
"2022-1";"Kurt Mexner";"Computing";"Sensoren am TXT: Die Kamera";"112–116";"Mit verschiedenen Sensoren werden die Möglichkeiten des TXT Discovery Sets erheblich erweitert. Mit dieser Reihe möchte ich einige dieser Sensoren vorstellen. In diesem Beitrag beschäftigen wir uns mit der mitgelieferten USB-Kamera."
"2022-1";"Dirk Fox";"Computing";"Tuning der Mecanum-Roboter";"117–122";"Der neue fischertechnik-Baukasten „Robotics Hightech“ enthält mehrere Modelle mit den Mecanum-Wheels, angetrieben von je einem Encoder-Motor. Eine vielversprechende Innovation – allerdings lässt die Konstruktion der Roboter „Luft nach oben“, insbesondere bei der Geschwindigkeit."
"2021-4";"Dirk Fox";"Editorial";"Bildung bildet";"2";
"2021-4";"Michael Biehl";"Modell";"fischertechnik-Band";"4–6";"Eigentlich hatte ich tolle Bandfiguren aus alten Lampen und allen möglichen Teilen entdeckt, die mir sehr gefielen. Upcycling nennt man das, glaube ich, jetzt auf neudeutsch. Allerdings auch zu enormen Preisen."
"2021-4";"Thomas Püttmann";"Modell";"Massagepistole";"7–9";"Muskeln können krampfen, sich verhärten, verkürzen oder sogar zusammenwachsen. Eine Massage lockert die Muskulatur und unterstützt den Lymphfluss. Viele Therapeuten, Sportler und Berufsmusiker setzen inzwischen Massagepistolen ein. Unsere fischertechnik-Massagepistole kann sich zwar nicht ganz mit den kommerziellen Geräten vergleichen, bringt aber doch einen spürbaren Lockerungseffekt."
"2021-4";"Harald Steinhaus";"Modell";"Citroën DS régénérée";"10–17";"Die Citroën Déesse hatte ich vor fast 10 Jahren schon mal gebaut, siehe im Bilderpool unter [1]. Das Kürzel „DS“ wird im Französischen wie „Déesse“ ausgesprochen und bedeutet dann „die Göttin“. Götter werden nicht „reloaded“, und mangels Sterblichkeit auch nicht wieder geboren. Dann eben „régénérée“. Und jetzt liegt der Ball bei Citroën, PSA oder Stellantis: es wird Zeit für eine neue DS, mit Elektroantrieb!"
"2021-4";"Dirk Fox";"Uhren (Modell)";"Synchronuhr mit Stirnradgetriebe";"18–21";"In der ft:pedia und im Bilderpool der fischertechnik-Community wurden schon zahlreiche großartige Synchronuhren – von einem 50-Hz-Wechselstrom-Motor angetriebene Uhrengetriebe – vorgestellt. Hier kommt eine weitere Variante mit einem reinen Stirnradgetriebe, ausschließlich mit (ungemoddeten) fischertechnik-Zahnrädern."
"2021-4";"Florian Bauer";"Modell";"Parallele Roboter – Tripteron und Agile Eye";"22–30";"In diesem Beitrag möchte ich ein paar Modelle von parallelen Robotern aus fischertechnik vorstellen. Unter einem Roboter soll hier – wie in der einschlägigen Fachliteratur üblich – ein mechanisches System verstanden werden, das über eine kinematische Kette, also einer Gruppe von Armen und Gelenken, einen End-Effektor (z. B. einen Greifer) in der Ebene oder im Raum bewegen kann."
"2021-4";"Kurt Mexner";"Computing";"Sensoren am TXT: IR-Dioden und -Transistoren";"31–34";"Mit verschiedenen Sensoren werden die Möglichkeiten des TXT Discovery Sets erheblich erweitert. Mit dieser Reihe möchte ich einige dieser Sensoren vorstellen. Heute beschäftigen wir uns mit Infrarotstrahlung."
"2021-4";"Peter Krijnen";"Elektronik";"Silberlinge: Original oder Nachbau (Teil 5)";"35–44";"Diese Folge dreht sich um den Nachbau des h4-Flip-Flop-Bausteins."
"2021-4";"Arnoud van Delden";"Elektronik";"Der Zauberling (Teil 2): Das Zauberbuch";"45–51";"Ein erfolgreicher Zauberer muss einen guten Zauberstab, bezaubernde Kleidung und wundervolle magische Gegenstände haben. Die „Hardware“ muss in Ordnung sein. Aber um die wahren Wunder zu vollbringen, ist die Neugier an Zaubersprüchen und Beschwörungen entscheidend. Der Zauberspruch ist komplett mit der richtigen Zauberformel und genau die Kombination aus Zauberstab und Zaubersprüchen enthält die wahre Magie. Höchste Zeit also, einen Blick in das große experimentelle Zauberbuch zu werfen: die Software des Zauberlings."
